ingenio,zafra,no_s_zafra,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_producida_total,azucar_producida_refinada,azucar_producida_estandar,azucar_producida_blanca_especial,azucar_producida_mascabado,toneladas_azucar_con_pol_menor_99_2,karbe_ton_cana_bruta_teorico,karbe_ton_cania_neta_teorico,eficiencia_en_fabrica,rendimiento_campo,rendimiento_fabrica,rendimiento_agroindustrial
San Pedro,2025-2026,10,44316.0,42827.67,543.411,2114.975,0.0,2114.975,0.0,0.0,0.0,0.0,77.91,67.323,81.551532,4.7724,3.892035
San Pedro,2025-2026,11,74861.0,72396.896,927.751,3972.35,0.0,3972.35,0.0,0.0,0.0,0.0,77.736,68.291,80.690831,5.3063,4.281698
San Pedro,2025-2026,12,109319.0,105705.029,1246.071,6788.075,0.0,6788.075,0.0,0.0,0.0,0.0,78.921,69.889,87.730955,6.2094,5.447582
San Pedro,2025-2026,13,115426.0,111632.056,1448.247,7542.65,0.0,7542.65,0.0,0.0,0.0,0.0,78.973,70.137,79.700493,6.5346,5.208124
San Pedro,2025-2026,14,123502.0,119451.745,1514.8,7997.65,0.0,7997.65,0.0,0.0,0.0,0.0,78.382,70.097,81.530235,6.4757,5.279673
Santa Clara,2025-2026,11,1625.0,0.0,22.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.445,72.91246,0.0,0.0
Santa Clara,2025-2026,12,15335.0,14589.61,207.603,767.7,0.0,767.7,0.0,0.0,0.0,0.0,101.282,73.401,73.866947,5.0061,3.697923
Santa Clara,2025-2026,13,39967.0,38175.51,499.563,3178.75,0.0,3178.75,0.0,0.0,0.0,0.0,104.233,76.268,80.003923,7.9534,6.363061
Santa Clara,2025-2026,14,64877.0,61988.4,814.45,5765.0,0.0,5765.0,0.0,0.0,0.0,0.0,104.027,78.269,79.657437,8.886,7.078396
Santa Rosalía,2025-2026,9,10172.42,0.0,164.496,646.5,0.0,0.0,0.0,646.5,0.0,0.0,0.0,74.009,61.839923,6.3554,3.930186
Santa Rosalía,2025-2026,10,46220.96,44890.795,691.65,3733.5,0.0,0.0,0.0,3733.5,0.0,0.0,0.0,76.966,66.827094,8.0775,5.397961
Santa Rosalía,2025-2026,11,61553.34,59836.428,886.68,5401.5,0.0,0.0,0.0,5401.5,0.0,0.0,0.0,77.907,69.420016,8.7753,6.091825
Santa Rosalía,2025-2026,12,70952.12,68965.654,1031.431,5887.5,0.0,0.0,0.0,5887.5,0.0,0.0,0.0,77.951,68.789982,8.2978,5.708089
Santa Rosalía,2025-2026,13,85205.62,82776.683,1252.103,7495.5,0.0,0.0,0.0,7495.5,0.0,0.0,0.0,77.084,68.050008,8.7969,5.986328
Santa Rosalía,2025-2026,14,85205.62,82776.683,1252.103,7495.5,0.0,0.0,0.0,7495.5,0.0,0.0,0.0,77.084,68.050008,8.7969,5.986328
Tala - Siembra,2025-2026,11,60203.5,58184.257,664.37,3483.0,1151.0,2302.0,30.0,0.0,0.0,0.0,97.6174477,79.826,90.617427,5.7853,5.24256
Tala - Siembra,2025-2026,12,147370.9,142466.982,1600.52,12153.275,5047.675,6925.6,180.0,0.0,0.0,0.0,98.7418153,80.721,92.076887,8.2467,7.593329
Tala - Siembra,2025-2026,13,240333.52,229775.032,2653.08,21642.85,9245.5,12095.85,301.5,0.0,0.0,0.0,100.9884605,81.818,90.586608,9.0053,8.157631
Tala - Siembra,2025-2026,14,338467.92,323553.678,3733.79,31382.0,13874.325,17023.175,484.5,0.0,0.0,0.0,102.7716159,82.304,90.649961,9.2717,8.404864
Tres Valles,2025-2026,10,25572.0,0.0,450.133,528.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,72.248,56.809876,2.0647,1.172986
Tres Valles,2025-2026,11,107210.0,103403.056,1556.348,6765.0,6765.0,0.0,0.0,0.0,0.0,0.0,100.58,74.632,68.885621,6.31,4.346714
Tres Valles,2025-2026,12,169874.0,163837.105,2479.497,12670.5,12670.5,0.0,0.0,0.0,0.0,0.0,100.062,76.381,68.511476,7.4587,5.110109
Tres Valles,2025-2026,13,179274.0,172935.607,2573.838,14130.2,14130.2,0.0,0.0,0.0,0.0,0.0,99.909,76.388,69.652402,7.8819,5.489933
Tres Valles,2025-2026,14,229455.0,221493.702,3280.068,17970.35,17970.35,0.0,0.0,0.0,0.0,0.0,100.188,76.835,69.954342,7.8317,5.478651
