ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total
comercializadora san gabriel a en p,2012-2013,30,61712.395,58709.337,3179.97,4049.22,0.0,4049.22,0.0,0.0,0,2688.834,0.0,0.0,60.629,80.209,90.408,37.226,17.536,12.097,18.22,13.64,74.829,3.12,48.42,3003.058,716.097,1116.98,193.305,912.87,2939.252,16685,867152,0,0,883837,517:45:00,55:15:00,24:00:00,94:00:00,17:50,708:00:00
comercializadora san gabriel a en p,2012-2013,31,71529.709,68088.731,3333.0,4757.97,0.0,4757.97,0.0,0.0,0,3127.683,0.0,0.0,60.288,80.439,90.462,37.308,17.568,12.101,18.2,13.61,74.766,3.09,48.42,3440.978,825.632,1296.849,218.399,1096.515,3437.395,16685,868181,0,0,884866,565:50:00,57:35:00,24:00:00,116:55:00,17:50,782:10:00
comercializadora san gabriel a en p,2012-2013,32,76847.329,73175.494,3415.348,5082.92,0.0,5082.92,0.0,0.0,0,3634.016,0.0,0.0,57.26,79.815,90.387,37.906,17.814,12.029,18.25,13.62,74.627,3.05,48.57,3671.835,888.586,1343.532,235.29,1483.327,3950.735,16685,882324,0,0,899009,665:45:00,59:05:00,24:00:00,121:00:00,17:50,887:40:00
comercializadora san gabriel a en p,2012-2013,33,79466.979,75693.02,1251.538,5338.895,0.0,5338.895,0.0,0.0,0,3961.446,92.283343,96.884,55.556,79.815,90.475,37.928,17.835,12.023,18.273,13.629,74.583,3.02,48.59,3773.959,910.086,1415.248,244.638,1676.321,4246.293,16685,897472,0,0,914157,674:05:00,59:40:00,24:00:00,169:20:00,17:50,944:55:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,11,30491.975,30491.975,413.17,2672.75,0.0,2672.75,0.0,0.0,0,782.609,0.0,0.0,80.173,0.0,0.0,0.0,13.72,12.13,0.0,0.0,80.08,0.0,0.0,0.0,202.333,344.443,49.535,136.937,733.248,0,0,0,0,0,00:00,00:00,00:00,00:00,00:00,00:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,12,51817.945,51052.343,918.0,4819.1,0.0,4819.1,0.0,0.0,0,1512.645,0.0,0.0,79.632,93.063,94.163,31.645,13.94,12.36,15.54,12.51,80.49,2.28,52.99,1064.587,373.883,591.065,79.762,259.912,1304.622,0,6463,0,0,6463,37:10:00,00:00,00:00,00:18,00:00,37:28:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,13,72431.475,71256.73,1330.0,6893.4,0.0,6893.4,0.0,0.0,0,2402.93,0.0,0.0,79.158,91.641,94.008,31.666,13.92,12.51,15.91,12.83,80.641,2.37,52.96,1473.73,542.964,837.28,112.803,395.53,1888.577,0,20497,0,0,20497,52:33:00,04:13,24:00:00,00:18,00:00,81:04:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,14,96932.69,95263.024,1738.0,9506.2,0.0,9506.2,0.0,0.0,0,3287.171,0.0,0.0,79.757,90.766,94.043,31.554,13.88,12.64,16.19,13.09,80.86,2.39,52.91,1968.651,729.805,1088.395,151.669,509.971,2479.84,0,24004,0,0,24004,61:04:00,04:13,48:00:00,00:33,00:00,113:50:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,15,123870.84,121633.349,2186.0,12370.3,0.0,12370.3,0.0,0.0,0,4302.892,0.0,0.0,80.149,90.071,94.041,31.509,13.88,12.78,16.44,13.34,81.11,2.42,52.82,2536.476,942.913,1381.943,193.514,622.844,3141.214,0,25851,0,0,25851,74:47:00,04:13,48:00:00,00:33,00:00,127:33:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,16,151744.17,148942.033,2584.0,15290.95,0.0,15290.95,0.0,0.0,0,5336.637,0.0,0.0,80.219,89.384,93.717,31.45,13.855,12.886,16.61,13.51,81.316,2.57,52.63,3101.122,1228.521,1686.931,242.493,709.949,3867.894,0,28990,0,0,28990,87:08:00,06:24,48:00:00,00:33,00:00,142:05:00
